E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_137.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_137.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_137.jpg,0,0,0,14.29558
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_201.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_201.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_201.jpg,0,0,0,14.17888
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_270.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_270.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_270.jpg,0,0,0,14.31165
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_341.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_341.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_341.jpg,0,0,0,14.19514
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_409.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_409.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_409.jpg,0,0,0,13.9006
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_478.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_478.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_478.jpg,0,0,0,13.78986
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_546.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_546.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_546.jpg,0,0,0,13.91336
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_614.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_614.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_614.jpg,0,0,0,13.61414
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_683.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_683.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_683.jpg,0,0,0,13.51794
E:\SDc\DAta\IMG\center_2021_04_16_19_35_48_751.jpg,E:\SDc\DAta\IMG\left_2021_04_16_19_35_48_751.jpg,E:\SDc\DAta\IMG\right_2021_04_16_19_35_48_751.jpg,0,0,0,13.6096
